cancellation_id,ride_id,customer_id,driver_id,cancellation_reason,cancellation_time
97,8317,1047,694,Rider Late,17:15:00
98,3618,1651,647,Driver Late,20:08:51
99,8493,89,290,Rider Late,09:17:09
100,7811,739,299,Wrong Pickup,05:51:06
101,9940,1584,237,Rider Late,21:23:32
102,1758,1991,621,Changed Plan,14:29:11
103,8076,961,646,Traffic Issue,23:10:33
104,2155,1316,713,Wrong Pickup,22:07:53
105,7930,1794,447,Rider Late,14:53:33
106,2177,906,281,Traffic Issue,17:38:10
107,7782,509,272,Traffic Issue,05:24:14
108,2365,1357,374,Changed Plan,08:25:52
109,2451,1484,454,Wrong Pickup,23:15:56
110,9923,821,73,Rider Late,04:50:26
111,5327,277,118,Wrong Pickup,20:00:00
112,6283,511,806,Driver Late,00:34:24
113,5638,348,207,Changed Plan,11:24:29
114,3528,837,414,Rider Late,10:14:30
115,582,1647,566,Rider Late,07:45:36
116,7983,748,345,Wrong Pickup,00:17:02
117,3956,510,904,Traffic Issue,16:38:28
118,8570,751,98,Rider Late,10:15:02
119,6129,1996,293,Rider Late,08:45:14
120,488,761,818,Rider Late,13:36:34
121,7222,41,295,Changed Plan,04:58:03
122,9613,135,475,Rider Late,11:10:36
123,3684,1754,642,Wrong Pickup,08:14:59
124,2832,75,626,Wrong Pickup,20:34:09
125,8173,1147,15,Changed Plan,05:08:06
126,528,1500,627,Wrong Pickup,00:48:23
127,8053,1610,198,Driver Late,02:44:15
128,8390,1554,600,Rider Late,18:57:11
129,8442,1491,597,Changed Plan,12:35:44
130,9949,1141,51,Driver Late,07:28:02
131,2315,1311,935,Driver Late,05:18:39
132,8177,843,418,Rider Late,20:07:54
133,8985,1355,509,Traffic Issue,01:24:48
134,9085,232,468,Driver Late,18:46:59
135,2254,1827,697,Changed Plan,01:31:52
136,8380,774,77,Traffic Issue,09:06:49
137,1205,1130,123,Traffic Issue,15:16:34
138,9347,43,795,Driver Late,03:28:20
139,1876,778,879,Traffic Issue,13:45:31
140,3319,1270,337,Changed Plan,18:09:30
141,9862,414,47,Rider Late,15:44:46
142,50,1620,949,Changed Plan,13:30:06
143,4580,499,952,Wrong Pickup,23:41:16
144,3,793,73,Changed Plan,13:27:41
145,3306,892,836,Driver Late,09:31:50
146,1200,547,533,Wrong Pickup,16:06:32
147,5488,986,331,Traffic Issue,05:11:50
148,6037,1965,541,Driver Late,02:54:40
149,3056,312,268,Rider Late,14:04:21
150,6252,844,964,Wrong Pickup,01:16:44
151,7412,792,547,Driver Late,14:25:21
152,3366,1425,186,Rider Late,19:12:41
153,5207,735,598,Driver Late,18:17:42
154,3975,553,304,Wrong Pickup,02:58:07
155,6506,483,441,Driver Late,03:14:16
156,5045,843,838,Changed Plan,23:57:06
157,6697,242,322,Wrong Pickup,12:28:50
158,8407,804,634,Changed Plan,18:00:03
159,6312,639,354,Wrong Pickup,03:26:01
160,1076,1472,156,Wrong Pickup,06:18:53
161,8549,1980,955,Wrong Pickup,08:59:03
162,8301,665,589,Wrong Pickup,14:54:33
163,1928,1349,820,Wrong Pickup,19:55:34
164,2247,1626,465,Driver Late,09:45:57
165,1295,632,562,Driver Late,02:00:30
166,8428,1770,18,Changed Plan,03:03:16
167,6966,311,588,Changed Plan,02:58:35
168,2830,692,852,Rider Late,17:24:19
169,7327,348,52,Changed Plan,07:29:18
170,2674,1747,579,Changed Plan,23:03:40
171,9138,1970,64,Rider Late,13:37:00
172,5906,1338,560,Changed Plan,07:22:12
173,6801,1568,565,Changed Plan,01:45:28
174,914,341,620,Changed Plan,21:57:39
175,6586,391,100,Traffic Issue,12:50:04
176,5940,706,795,Driver Late,17:04:28
177,905,247,862,Changed Plan,02:33:10
178,7647,1833,150,Driver Late,11:10:53
179,9258,100,633,Traffic Issue,10:03:14
180,9656,1233,6,Changed Plan,20:33:46
181,9682,474,530,Rider Late,20:31:46
182,7476,1025,799,Driver Late,10:52:59
183,626,253,663,Rider Late,07:25:15
184,5507,1054,887,Changed Plan,20:50:55
185,4405,128,65,Traffic Issue,06:01:04
186,2316,650,505,Driver Late,17:50:11
187,5074,1375,723,Driver Late,00:51:19
188,1432,997,83,Changed Plan,02:37:18
189,3974,1655,358,Driver Late,13:15:58
190,8901,475,82,Wrong Pickup,17:13:26
191,1566,1216,811,Rider Late,12:30:04
192,3313,830,590,Wrong Pickup,04:26:28
193,924,917,501,Driver Late,06:38:06
194,8317,128,98,Changed Plan,01:47:10
195,9098,214,220,Wrong Pickup,19:34:54
196,3118,467,954,Wrong Pickup,13:05:15
197,2307,1078,902,Traffic Issue,08:43:39
198,4200,1022,339,Driver Late,18:15:06
199,2794,8,198,Rider Late,04:22:45
200,4089,259,569,Driver Late,21:24:03
201,1572,1266,928,Traffic Issue,07:40:31
202,7041,269,891,Wrong Pickup,11:33:56
203,211,787,737,Driver Late,03:14:36
204,4231,735,732,Changed Plan,19:36:46
205,4441,1150,372,Driver Late,14:47:53
206,2889,1029,222,Rider Late,22:38:21
207,1056,1639,454,Traffic Issue,00:35:53
208,3282,715,779,Traffic Issue,20:41:20
209,8762,1308,42,Changed Plan,01:04:21
210,6288,499,275,Rider Late,07:12:23
211,9776,630,971,Driver Late,20:35:12
212,6841,1179,835,Wrong Pickup,23:27:08
213,9297,411,698,Changed Plan,20:55:06
214,7841,1850,648,Changed Plan,14:47:34
215,3987,283,450,Wrong Pickup,19:44:07
216,8050,1067,481,Changed Plan,10:59:37
217,3796,618,930,Rider Late,08:46:04
218,1100,1966,629,Changed Plan,07:30:24
219,1610,819,663,Driver Late,12:54:24
220,5476,829,110,Changed Plan,23:54:24
221,2689,942,444,Driver Late,15:18:04
222,7934,231,654,Driver Late,19:22:34
223,6772,441,344,Wrong Pickup,01:08:15
224,8298,724,774,Rider Late,00:08:17
225,9785,1805,450,Rider Late,23:32:54
226,6720,1049,329,Traffic Issue,10:01:39
227,1443,1533,435,Traffic Issue,15:47:41
228,5629,700,415,Rider Late,02:27:28
229,269,459,247,Traffic Issue,19:30:10
230,6996,1652,365,Rider Late,08:14:49
231,4091,1865,356,Driver Late,20:35:35
232,5535,1531,509,Rider Late,05:53:39
233,5613,747,186,Wrong Pickup,03:28:31
234,5402,1932,933,Rider Late,08:46:39
235,6890,845,595,Rider Late,12:13:58
236,9946,1311,340,Changed Plan,16:04:53
237,2374,1415,229,Traffic Issue,16:26:49
238,1051,1959,629,Wrong Pickup,05:19:11
239,5633,367,882,Rider Late,14:38:24
240,9348,1031,348,Rider Late,19:21:33
241,9938,848,776,Rider Late,01:24:27
242,1186,356,608,Changed Plan,06:13:04
243,998,89,200,Driver Late,23:59:31
244,5803,1818,225,Driver Late,06:42:10
245,6722,986,434,Traffic Issue,06:01:08
246,9540,207,329,Changed Plan,13:12:52
247,5706,1373,996,Changed Plan,19:08:10
248,6561,622,648,Traffic Issue,03:35:59
249,9601,711,921,Driver Late,20:56:01
250,9441,1713,800,Rider Late,18:51:42
251,1944,887,425,Rider Late,07:23:55
252,8070,1943,430,Wrong Pickup,12:06:07
253,8271,1685,859,Traffic Issue,17:12:08
254,3356,1629,535,Changed Plan,04:53:11
255,6949,1672,350,Wrong Pickup,16:59:52
256,1380,1055,611,Traffic Issue,14:14:44
257,9531,15,380,Driver Late,07:28:42
258,6270,1773,972,Traffic Issue,18:13:19
259,6656,493,986,Rider Late,09:22:07
260,6715,1832,210,Changed Plan,00:49:26
261,999,571,923,Rider Late,18:09:47
262,3630,80,732,Changed Plan,01:44:32
263,6247,670,965,Changed Plan,17:23:04
264,6775,61,931,Rider Late,11:14:06
265,2493,1110,541,Wrong Pickup,22:03:21
266,1097,492,726,Wrong Pickup,01:33:06
267,3993,1822,945,Driver Late,08:03:39
268,7992,1200,990,Changed Plan,07:27:22
269,1067,970,699,Changed Plan,08:32:19
270,3291,1373,590,Traffic Issue,10:12:42
271,4589,1876,95,Driver Late,21:58:43
272,6750,90,459,Changed Plan,16:46:12
273,7573,827,514,Driver Late,06:19:56
274,8695,616,357,Traffic Issue,15:21:53
275,6445,233,785,Driver Late,23:01:57
276,9211,1287,808,Changed Plan,06:07:33
277,2295,1886,87,Wrong Pickup,18:10:38
278,4753,467,500,Driver Late,07:18:51
279,1711,1929,633,Wrong Pickup,07:11:43
280,8954,1927,143,Wrong Pickup,05:05:28
281,586,812,565,Driver Late,17:12:56
282,9959,413,231,Wrong Pickup,16:26:00
283,4203,1984,745,Changed Plan,20:56:00
284,7891,1007,45,Driver Late,07:06:56
285,8672,747,22,Rider Late,02:53:41
286,3623,1120,166,Rider Late,16:22:43
287,9188,1537,312,Driver Late,20:49:42
288,7818,670,873,Rider Late,04:59:06
289,2411,1527,871,Traffic Issue,18:01:53
290,2034,1265,167,Wrong Pickup,17:19:59
291,5653,1871,657,Wrong Pickup,01:24:17
292,3576,227,50,Wrong Pickup,13:11:08
293,2337,1546,250,Rider Late,17:45:56
294,5841,1790,13,Wrong Pickup,13:30:12
295,2500,1373,418,Driver Late,10:52:55
296,7089,819,269,Rider Late,20:16:06
297,5707,1409,109,Changed Plan,19:55:14
298,2548,69,555,Traffic Issue,21:30:02
299,2567,869,72,Driver Late,18:53:19
300,9106,1597,978,Wrong Pickup,15:43:13
301,5215,1228,890,Wrong Pickup,21:11:55
302,7894,1358,701,Traffic Issue,21:37:09
303,7800,1160,485,Changed Plan,06:08:52
304,4840,1054,434,Rider Late,19:56:24
305,4505,684,877,Rider Late,03:25:55
306,6343,1515,442,Driver Late,07:01:23
307,3823,65,183,Traffic Issue,02:41:09
308,1911,1974,997,Traffic Issue,02:40:20
309,5096,319,180,Changed Plan,22:27:00
310,2400,1684,805,Traffic Issue,15:36:59
311,1778,580,832,Changed Plan,19:05:25
312,2268,1531,832,Wrong Pickup,18:29:11
313,1622,1231,711,Rider Late,11:56:43
314,4277,638,599,Changed Plan,07:00:17
315,3282,1923,97,Changed Plan,22:26:26
316,8444,1686,798,Rider Late,13:41:52
317,5734,634,755,Traffic Issue,00:55:16
318,9684,577,421,Wrong Pickup,01:50:57
319,5900,1445,145,Rider Late,07:05:29
320,6531,204,943,Traffic Issue,03:33:32
321,1144,1912,36,Traffic Issue,12:59:48
322,8079,217,618,Rider Late,19:23:19
323,171,503,570,Changed Plan,09:41:45
324,3234,1375,841,Rider Late,21:58:04
325,144,1526,873,Changed Plan,22:39:35
326,9912,476,470,Driver Late,04:37:41
327,2501,104,604,Changed Plan,08:25:55
328,4117,1074,959,Wrong Pickup,13:26:41
329,5347,1706,693,Traffic Issue,17:19:28
330,9582,1592,782,Driver Late,09:58:25
331,161,305,50,Driver Late,05:12:29
332,9576,1532,708,Traffic Issue,03:12:00
333,9127,165,444,Driver Late,19:30:53
334,5809,1448,74,Changed Plan,12:59:43
335,925,685,551,Wrong Pickup,20:27:52
336,9460,239,763,Wrong Pickup,01:36:15
337,437,495,300,Rider Late,07:48:12
338,8481,475,698,Changed Plan,18:40:37
339,3759,770,625,Rider Late,03:37:02
340,8647,1232,451,Rider Late,03:38:22
341,1374,652,105,Traffic Issue,13:24:27
342,3083,1700,576,Traffic Issue,03:09:11
343,4108,1036,95,Traffic Issue,05:17:03
344,8389,1722,181,Wrong Pickup,03:41:58
345,6551,136,226,Driver Late,16:06:10
346,8365,1235,786,Driver Late,09:43:53
347,6033,1025,636,Changed Plan,19:57:56
348,280,1716,508,Rider Late,06:53:31
349,4252,1103,531,Rider Late,16:36:40
350,1007,1638,339,Traffic Issue,13:16:26
351,1077,1581,460,Wrong Pickup,12:48:44
352,9118,502,669,Rider Late,10:07:18
353,381,373,208,Rider Late,17:10:22
354,4231,1008,117,Wrong Pickup,22:23:14
355,2619,1601,1,Changed Plan,00:07:05
356,5640,1892,457,Traffic Issue,06:30:59
357,7814,1610,573,Rider Late,11:41:29
358,5970,462,989,Changed Plan,12:33:06
359,3050,565,711,Changed Plan,12:03:17
360,539,1410,946,Changed Plan,00:57:30
361,4360,1848,944,Rider Late,01:49:55
362,2771,579,740,Changed Plan,07:40:20
363,8701,1702,901,Wrong Pickup,18:15:52
364,8463,839,833,Changed Plan,20:31:09
365,8515,133,428,Driver Late,22:48:32
366,8198,866,871,Rider Late,02:52:22
367,6424,34,384,Changed Plan,09:12:26
368,2312,1134,381,Driver Late,18:26:08
369,5926,1920,461,Rider Late,12:28:13
370,4899,1775,146,Wrong Pickup,15:27:07
371,1573,1705,753,Driver Late,11:40:48
372,7440,892,794,Rider Late,06:39:10
373,1105,1074,105,Driver Late,12:27:01
374,4097,1751,779,Rider Late,01:49:00
375,2831,528,313,Rider Late,15:44:28
376,1397,167,725,Wrong Pickup,20:33:14
377,4462,408,245,Rider Late,15:05:48
378,9140,301,114,Wrong Pickup,03:53:20
379,4203,874,889,Wrong Pickup,20:56:44
380,7763,751,844,Rider Late,06:02:33
381,7822,151,561,Wrong Pickup,21:01:23
382,9232,1505,232,Changed Plan,09:39:21
383,4163,1692,972,Driver Late,03:33:35
384,8831,1365,907,Wrong Pickup,13:53:09
385,3974,1280,180,Wrong Pickup,22:33:37
386,615,1002,656,Driver Late,16:42:52
387,7476,4,939,Driver Late,18:15:25
388,2221,304,288,Driver Late,20:25:11
389,5753,35,201,Rider Late,15:44:02
390,2024,639,17,Wrong Pickup,11:19:53
391,3200,1198,227,Rider Late,01:13:31
392,570,1395,822,Wrong Pickup,16:34:53
393,3799,227,162,Changed Plan,11:45:06
394,9076,1695,409,Rider Late,03:28:17
395,9637,1986,235,Rider Late,16:36:18
396,7552,124,741,Traffic Issue,13:35:56
397,4839,1025,601,Traffic Issue,12:08:50
398,836,1276,957,Rider Late,19:15:31
399,5849,594,614,Wrong Pickup,13:11:09
400,635,976,635,Rider Late,08:40:16
401,465,183,977,Rider Late,11:56:11
402,6487,944,579,Traffic Issue,13:05:26
403,3161,724,373,Wrong Pickup,01:41:19
404,1296,280,429,Driver Late,06:19:39
405,3162,1432,506,Rider Late,17:43:46
406,7579,1962,622,Changed Plan,04:44:45
407,5078,200,199,Changed Plan,10:58:53
408,2195,284,517,Wrong Pickup,13:41:14
409,5976,1706,751,Rider Late,03:36:32
410,9385,1524,585,Wrong Pickup,11:03:54
411,4602,860,781,Traffic Issue,01:16:45
412,1727,329,378,Driver Late,05:36:34
413,4931,1328,149,Changed Plan,06:17:16
414,974,422,668,Driver Late,09:50:53
415,2084,429,490,Changed Plan,06:34:58
416,598,201,922,Traffic Issue,19:08:59
417,3361,218,522,Rider Late,08:00:32
418,8384,1031,335,Traffic Issue,21:11:53
419,1632,93,926,Changed Plan,13:44:37
420,741,374,765,Changed Plan,12:38:24
421,1363,1140,146,Traffic Issue,01:14:17
422,2602,1491,940,Rider Late,09:01:21
423,6910,1770,237,Changed Plan,07:25:23
424,7791,464,332,Wrong Pickup,23:38:42
425,1081,706,228,Rider Late,21:15:41
426,1667,605,719,Driver Late,13:46:55
427,2571,1264,444,Changed Plan,15:17:51
428,8082,689,708,Wrong Pickup,19:02:20
429,1502,279,526,Rider Late,18:47:55
430,5861,424,347,Driver Late,07:44:06
431,5946,1720,487,Changed Plan,21:01:39
432,7993,1800,340,Driver Late,17:28:47
433,7700,465,892,Traffic Issue,05:25:50
434,7349,1792,495,Changed Plan,10:00:45
435,5044,256,480,Driver Late,16:19:06
436,6158,1338,196,Wrong Pickup,11:02:43
437,2208,496,673,Rider Late,05:03:54
438,8731,1163,46,Rider Late,12:49:05
439,7643,1116,908,Wrong Pickup,02:55:01
440,8710,1548,589,Wrong Pickup,16:19:34
441,9993,1751,676,Changed Plan,21:35:08
442,9791,1619,209,Wrong Pickup,08:38:38
443,1668,1962,186,Rider Late,14:57:08
444,11,314,488,Changed Plan,05:55:48
445,8676,1056,116,Wrong Pickup,04:06:08
446,2812,1996,462,Driver Late,21:02:58
447,6801,1021,628,Driver Late,14:15:14
448,3001,787,381,Wrong Pickup,13:28:59
449,9271,1738,426,Driver Late,13:37:45
450,1637,335,840,Rider Late,09:20:38
451,141,1421,820,Rider Late,19:27:24
452,2726,960,742,Rider Late,03:00:25
453,6247,1485,821,Rider Late,01:52:39
454,5324,295,496,Wrong Pickup,08:34:30
455,5475,119,941,Traffic Issue,11:01:50
456,4462,843,82,Driver Late,14:50:30
457,3101,1802,704,Traffic Issue,08:48:00
458,8133,561,665,Traffic Issue,20:25:41
459,6701,761,433,Changed Plan,17:40:24
460,6045,1130,67,Driver Late,22:12:34
461,9924,1693,12,Rider Late,00:40:31
462,9653,1747,592,Traffic Issue,20:13:15
463,807,1222,299,Traffic Issue,14:32:40
464,7936,969,767,Wrong Pickup,23:47:23
465,7057,1048,376,Changed Plan,00:47:22
466,9915,402,998,Wrong Pickup,15:48:10
467,907,1063,999,Driver Late,22:11:12
468,5168,1291,476,Changed Plan,17:55:28
469,7630,443,442,Rider Late,06:14:59
470,2327,31,430,Rider Late,16:15:01
471,5350,1649,192,Changed Plan,23:20:16
472,1045,1454,369,Traffic Issue,23:23:00
473,2113,54,568,Changed Plan,22:44:51
474,6542,1664,932,Rider Late,19:10:34
475,8907,1055,582,Rider Late,10:54:23
476,9423,732,681,Wrong Pickup,00:52:28
477,4391,472,939,Traffic Issue,20:21:07
478,3753,900,376,Traffic Issue,05:30:42
479,8611,1632,749,Changed Plan,14:38:58
480,319,673,74,Changed Plan,07:17:52
481,8246,1705,439,Wrong Pickup,10:18:07
482,2771,239,389,Wrong Pickup,11:04:44
483,4679,1169,221,Driver Late,12:53:27
484,7412,507,660,Changed Plan,13:11:50
485,1079,991,754,Driver Late,15:49:46
486,638,599,1,Changed Plan,21:39:37
487,9968,124,265,Wrong Pickup,22:55:22
488,1723,1974,565,Traffic Issue,13:53:57
489,5352,1965,549,Wrong Pickup,06:50:09
490,9288,1095,270,Traffic Issue,03:39:18
491,6097,1585,433,Traffic Issue,06:55:17
492,2102,488,750,Traffic Issue,23:12:24
493,5835,226,248,Wrong Pickup,17:17:37
494,5967,719,248,Traffic Issue,17:29:33
495,7208,1102,54,Driver Late,10:42:30
496,4608,1615,348,Rider Late,07:42:18
497,2129,1158,247,Wrong Pickup,05:27:35
498,1002,187,105,Driver Late,01:09:04
499,224,798,252,Rider Late,11:12:52
500,9705,2000,215,Driver Late,01:29:36
501,1585,994,885,Traffic Issue,05:36:14
502,9945,1839,645,Traffic Issue,12:37:46
503,9014,324,388,Rider Late,04:43:09
504,467,1049,240,Changed Plan,15:43:55
505,114,1697,997,Wrong Pickup,00:31:59
506,3316,221,369,Changed Plan,10:53:21
507,4320,1044,693,Driver Late,22:26:26
508,5116,1189,387,Traffic Issue,01:17:13
509,7613,1369,256,Traffic Issue,07:41:10
510,3883,1238,945,Wrong Pickup,12:17:06
511,5287,1727,941,Traffic Issue,22:07:42
512,1165,152,308,Changed Plan,04:12:29
513,1748,1588,659,Changed Plan,03:18:56
514,1031,1110,569,Changed Plan,14:28:00
515,8997,1064,673,Traffic Issue,21:06:05
516,338,140,563,Wrong Pickup,00:58:15
517,3120,33,253,Driver Late,03:49:25
518,3242,1621,979,Wrong Pickup,07:50:30
519,4719,1991,270,Driver Late,08:06:14
520,42,1587,575,Rider Late,07:55:27
521,6986,407,632,Driver Late,01:57:41
522,543,464,585,Rider Late,09:28:27
523,1014,689,24,Rider Late,01:36:20
524,3457,1398,745,Traffic Issue,12:23:25
525,1949,367,17,Traffic Issue,00:59:58
526,4669,1941,872,Traffic Issue,17:15:31
527,8617,615,581,Traffic Issue,01:55:11
528,3008,1882,369,Changed Plan,10:36:54
529,7169,1998,386,Traffic Issue,10:15:29
530,3817,420,935,Wrong Pickup,17:26:33
531,138,244,173,Driver Late,12:06:03
532,4339,1458,352,Traffic Issue,18:53:52
533,3857,1672,629,Traffic Issue,22:51:36
534,5705,1994,158,Traffic Issue,04:27:46
535,7860,1776,8,Driver Late,19:13:14
536,9272,262,983,Rider Late,18:40:31
537,5234,1457,405,Traffic Issue,15:58:00
538,5818,1814,213,Rider Late,09:02:48
539,589,323,521,Wrong Pickup,08:18:37
540,1504,264,628,Rider Late,01:29:04
541,9236,816,627,Wrong Pickup,21:16:44
542,2476,2000,510,Driver Late,19:17:46
543,7492,1353,743,Changed Plan,19:15:26
544,3528,958,366,Traffic Issue,21:31:22
545,8245,1445,543,Changed Plan,16:37:32
546,9814,1590,370,Rider Late,05:50:01
547,7965,1980,964,Changed Plan,10:17:37
548,4912,1390,10,Changed Plan,15:01:51
549,7853,842,989,Changed Plan,23:27:51
550,5140,1843,96,Driver Late,02:27:51
551,7710,1299,784,Driver Late,18:20:15
552,7801,181,683,Wrong Pickup,07:41:30
553,4894,418,49,Changed Plan,14:41:59
554,3834,1078,266,Driver Late,15:04:07
555,1669,1755,897,Wrong Pickup,01:14:19
556,1124,553,631,Rider Late,16:24:02
557,6968,1053,396,Rider Late,08:47:41
558,5758,212,865,Traffic Issue,04:41:45
559,1044,1972,882,Rider Late,21:03:10
560,9303,1038,381,Changed Plan,10:30:40
561,967,951,34,Rider Late,00:42:08
562,8531,888,647,Driver Late,00:10:00
563,2269,371,877,Changed Plan,09:35:43
564,4050,1939,296,Driver Late,10:03:49
565,1005,835,296,Traffic Issue,12:02:52
566,6240,483,784,Driver Late,20:52:11
567,5261,1033,660,Changed Plan,22:55:15
568,1579,1131,259,Traffic Issue,17:33:30
569,7226,1928,494,Wrong Pickup,04:18:28
570,5839,1355,513,Changed Plan,13:30:20
571,7245,491,549,Rider Late,21:04:38
572,7327,1025,75,Rider Late,18:22:51
573,7780,538,703,Rider Late,14:18:17
574,5679,1377,550,Driver Late,18:56:31
575,9754,1270,722,Driver Late,19:29:35
576,7437,1555,494,Rider Late,04:54:30
577,4809,1637,85,Driver Late,07:52:44
578,2246,1788,175,Traffic Issue,00:39:49
579,5024,605,449,Rider Late,01:55:51
580,7921,1647,731,Driver Late,05:56:48
581,3750,1305,194,Wrong Pickup,22:26:10
582,5700,1173,977,Rider Late,18:32:16
583,2422,225,57,Traffic Issue,18:37:44
584,803,493,343,Traffic Issue,06:24:05
585,6618,262,736,Traffic Issue,10:34:28
586,5801,357,798,Wrong Pickup,20:09:03
587,5756,1795,451,Wrong Pickup,04:32:10
588,4207,555,530,Rider Late,17:07:42
589,6468,391,128,Rider Late,00:09:55
590,1519,1045,600,Driver Late,12:27:14
591,9821,967,237,Wrong Pickup,02:23:30
592,2424,963,504,Driver Late,01:23:01
593,7953,357,249,Wrong Pickup,09:18:04
594,998,158,718,Rider Late,12:52:54
595,4911,1833,547,Traffic Issue,20:08:00
596,9789,1730,27,Wrong Pickup,06:28:19
597,2840,312,694,Wrong Pickup,09:55:49
598,630,1876,836,Traffic Issue,15:15:03
599,8047,767,594,Driver Late,07:57:39
600,4530,862,811,Rider Late,07:36:28
601,5772,776,479,Wrong Pickup,05:27:54
602,8595,1299,791,Driver Late,04:15:43
603,3573,1108,187,Rider Late,23:10:53
604,7804,538,739,Traffic Issue,16:31:29
605,2463,1071,979,Changed Plan,11:06:49
606,8345,494,858,Wrong Pickup,04:40:53
607,9386,750,460,Changed Plan,17:38:00
608,2533,1888,187,Changed Plan,01:45:53
609,9253,672,199,Rider Late,04:55:09
610,1243,1782,166,Rider Late,17:26:34
611,2130,1898,926,Wrong Pickup,11:42:02
612,4680,1755,961,Rider Late,12:18:35
613,2344,639,771,Rider Late,04:03:24
614,7408,661,697,Driver Late,22:26:00
615,171,1330,895,Changed Plan,22:28:28
616,8355,813,749,Driver Late,11:36:20
617,5999,1218,163,Rider Late,15:38:30
