payment_id,ride_id,customer_id,amount_paid,payment_method,transaction_status,transaction_date
192,3755,1748,43.35,Cash,Pending,2025-01-25
193,4709,1045,383.12,Card,Success,2025-01-25
194,830,499,342.34,Cash,Success,2025-02-17
195,9837,428,202.03,Card,Failed,2025-01-07
196,2227,493,215.22,Cash,Success,2025-01-05
197,9746,1964,115.35,UPI,Success,2025-02-18
198,2509,605,394.26,Cash,Pending,2025-03-02
199,9862,1155,465.91,UPI,Pending,2025-02-03
200,2868,1182,384.32,Card,Pending,2025-01-04
201,490,1406,416.96,UPI,Pending,2025-02-04
202,7925,165,348.72,UPI,Success,2025-03-02
203,8414,1964,371.22,UPI,Pending,2025-01-17
204,1662,260,349.38,Card,Pending,2025-02-20
205,8877,547,39.12,UPI,Failed,2025-01-13
206,3347,529,107.51,UPI,Pending,2025-01-01
207,267,317,376.72,Cash,Pending,2025-01-31
208,6846,202,314.72,Card,Failed,2025-02-01
209,2279,89,185.2,UPI,Pending,2025-02-27
210,9602,47,443.96,Card,Pending,2025-01-22
211,7914,1944,295.97,Cash,Failed,2025-03-01
212,9009,1885,245.67,UPI,Failed,2025-02-16
213,6475,262,68.55,UPI,Failed,2025-02-19
214,3352,746,472.11,UPI,Success,2025-02-18
215,8255,396,370.55,Card,Failed,2025-02-22
216,7756,650,187.6,Cash,Failed,2025-01-08
217,2693,1371,101.41,Card,Failed,2025-01-11
218,8999,1934,253.26,UPI,Pending,2025-02-20
219,8411,1449,330.31,Card,Success,2025-01-24
220,3401,283,83.04,UPI,Failed,2025-02-09
221,7013,1492,175.09,Wallet,Success,2025-02-14
222,4449,1795,230.73,UPI,Success,2025-01-07
223,2792,843,173.97,UPI,Success,2025-01-15
224,8646,690,302.46,Card,Failed,2025-01-27
225,7528,373,265.07,Cash,Success,2025-03-02
226,1377,1145,75.26,Card,Failed,2025-01-17
227,2360,141,124.23,Cash,Failed,2025-01-28
228,6745,1749,164.18,Wallet,Success,2025-02-13
229,3424,1043,481.1,Cash,Success,2025-03-02
230,3333,362,406.7,UPI,Success,2025-02-02
231,5691,53,406.97,Wallet,Success,2025-02-02
232,7733,319,327.45,Cash,Failed,2025-03-03
233,2131,439,480.46,Card,Failed,2025-02-27
234,5476,905,409.56,Wallet,Pending,2025-02-28
235,4218,494,159.4,UPI,Pending,2025-01-23
236,3906,352,448.35,UPI,Pending,2025-02-09
237,2224,336,388.53,Cash,Pending,2025-01-01
238,4848,1434,155.8,Cash,Pending,2025-01-16
239,6419,788,232.44,Cash,Success,2025-03-02
240,3674,1334,363.42,UPI,Success,2025-01-15
241,6373,1941,31.48,UPI,Success,2025-02-03
242,7075,8,416.78,Wallet,Failed,2025-02-04
243,5324,480,110.53,Wallet,Pending,2025-02-19
244,4566,351,249.9,Card,Pending,2025-01-03
245,8694,154,239,Card,Failed,2025-02-20
246,5006,987,225.85,Wallet,Pending,2025-01-24
247,4960,5,184.67,Wallet,Pending,2025-02-06
248,8064,1349,437.33,UPI,Pending,2025-01-03
249,4249,1947,287.08,Cash,Success,2025-02-10
250,3108,458,78.32,Cash,Success,2025-03-02
251,7097,705,51.08,Cash,Pending,2025-02-09
252,1998,864,456.97,UPI,Success,2025-01-07
253,3220,480,66.47,UPI,Pending,2025-02-26
254,6012,511,458.91,Card,Pending,2025-02-19
255,50,1336,326.36,Wallet,Pending,2025-02-08
256,5673,298,425.67,Cash,Success,2025-02-26
257,4847,306,410.03,Card,Success,2025-02-20
258,2141,844,280.3,Card,Success,2025-01-28
259,456,573,495.7,Cash,Failed,2025-01-06
260,1685,871,148.88,Cash,Failed,2025-01-24
261,7633,1279,369.23,Card,Pending,2025-02-27
262,7337,1197,374.07,Wallet,Success,2025-02-20
263,5488,1632,141.81,Cash,Success,2025-01-01
264,3564,792,282.08,Card,Success,2025-01-13
265,2346,214,191.27,Wallet,Pending,2025-01-13
266,803,1767,137.27,Wallet,Pending,2025-01-24
267,1702,100,266.28,Cash,Failed,2025-01-04
268,7359,1148,44.57,Cash,Pending,2025-01-08
269,3929,1532,384.52,Card,Failed,2025-02-17
270,8811,1832,398.25,UPI,Failed,2025-01-15
271,3661,1333,419.52,Wallet,Failed,2025-02-14
272,2033,1024,417.11,Card,Pending,2025-01-30
273,3677,975,71.12,Card,Success,2025-01-07
274,1418,676,145.04,UPI,Failed,2025-01-04
275,8926,1254,110.4,UPI,Success,2025-01-07
276,3627,671,368.28,Cash,Success,2025-01-31
277,2678,324,57.01,Cash,Success,2025-01-07
278,5086,243,312.13,Cash,Success,2025-02-24
279,569,1792,88.03,UPI,Success,2025-02-19
280,6767,809,363.86,Card,Success,2025-01-31
281,1164,1621,266.19,Card,Failed,2025-01-06
282,4891,663,189.66,Card,Failed,2025-01-20
283,7098,1569,117.76,Card,Pending,2025-01-26
284,6289,435,248.13,UPI,Failed,2025-02-20
285,350,1803,231.48,Card,Success,2025-01-18
286,6357,1589,340.57,UPI,Pending,2025-02-12
287,8659,708,45.63,UPI,Pending,2025-02-01
288,7237,1791,288.2,Cash,Failed,2025-02-15
289,8896,18,491.57,UPI,Pending,2025-02-16
290,6747,205,34.08,Card,Failed,2025-02-18
291,3002,1686,195.82,Card,Success,2025-02-18
292,582,1193,224.52,Wallet,Failed,2025-02-04
293,6017,1931,79.84,Wallet,Success,2025-01-09
294,515,676,277.11,Wallet,Success,2025-01-24
295,2686,578,188.04,Cash,Pending,2025-02-09
296,6400,629,250.95,Card,Failed,2025-02-20
297,7394,232,125.16,Card,Pending,2025-01-25
298,1091,463,137.53,Cash,Pending,2025-02-27
299,5012,913,381.13,Card,Failed,2025-03-02
300,3301,977,286.72,Cash,Pending,2025-02-12
301,9374,1794,373.86,Card,Failed,2025-01-28
302,8456,1683,290.41,Card,Pending,2025-01-12
303,5133,745,299.39,Cash,Success,2025-01-08
304,8348,1185,40.95,Cash,Failed,2025-01-18
305,886,943,282.27,Cash,Failed,2025-01-11
306,3519,1254,212.48,UPI,Failed,2025-03-03
307,218,107,40.55,Card,Pending,2025-02-08
308,4538,440,462.67,Cash,Failed,2025-02-11
309,4367,1366,390.77,Cash,Failed,2025-01-22
310,3199,1980,343.41,Card,Success,2025-02-22
311,8253,1249,476.72,Card,Failed,2025-01-20
312,769,492,406.86,Card,Failed,2025-02-05
313,9076,1527,42.13,Cash,Success,2025-02-05
314,1806,1273,82.96,UPI,Pending,2025-02-14
315,3859,630,51.17,UPI,Failed,2025-01-19
316,5767,151,300.69,Wallet,Pending,2025-01-24
317,6405,47,75.95,Cash,Failed,2025-01-21
318,5744,681,88.27,Card,Pending,2025-01-13
319,5346,1514,62.92,Card,Pending,2025-01-21
320,7055,314,146.97,Cash,Success,2025-01-10
321,8482,89,173.95,UPI,Failed,2025-01-08
322,9321,463,177.18,Wallet,Success,2025-01-25
323,6362,280,32.93,Cash,Success,2025-01-29
324,9800,335,198.69,Wallet,Pending,2025-01-11
325,3021,1140,253.77,UPI,Pending,2025-01-12
326,2325,1011,299.95,Card,Pending,2025-02-28
327,2315,1912,116.09,Cash,Success,2025-01-05
328,9970,1467,296.83,Cash,Pending,2025-02-07
329,7537,401,344.23,Card,Failed,2025-01-22
330,3002,1381,249.08,UPI,Pending,2025-01-19
331,4376,628,492.27,UPI,Failed,2025-02-05
332,9731,1659,496.27,Wallet,Pending,2025-01-02
333,5353,975,435.8,Cash,Pending,2025-01-31
334,3284,381,78.67,Cash,Pending,2025-01-01
335,4728,839,473.21,Wallet,Pending,2025-01-07
336,7168,238,371.23,UPI,Failed,2025-01-09
337,9161,321,487.19,Wallet,Success,2025-01-13
338,5388,233,375.04,Wallet,Pending,2025-01-13
339,5974,376,353.58,Cash,Pending,2025-02-25
340,4634,1551,368.29,Wallet,Pending,2025-01-30
341,444,281,363.59,UPI,Success,2025-02-12
342,3792,6,244.98,UPI,Failed,2025-02-22
343,9292,1455,360.39,Cash,Pending,2025-01-27
344,4413,496,132.37,Card,Pending,2025-01-08
345,626,560,360.03,Cash,Success,2025-02-25
346,7461,1080,462.91,Wallet,Pending,2025-01-23
347,4464,984,59.02,Wallet,Success,2025-01-17
348,6396,265,215.05,Cash,Success,2025-02-16
349,762,1801,40.75,UPI,Failed,2025-01-07
350,2772,783,427.49,Cash,Success,2025-01-04
351,1148,835,173.23,Wallet,Success,2025-02-25
352,241,1685,92.94,UPI,Success,2025-01-16
353,1489,1216,209.17,Wallet,Pending,2025-02-19
354,4070,400,460.65,UPI,Failed,2025-02-10
355,6650,1836,263,Card,Failed,2025-01-05
356,7201,984,400.01,UPI,Pending,2025-03-01
357,1342,1715,238.42,Wallet,Failed,2025-01-15
358,4763,752,427.6,Card,Pending,2025-02-20
359,898,95,160.73,Cash,Failed,2025-03-02
360,4464,1357,381.11,Card,Pending,2025-02-12
361,3141,695,161.52,Card,Pending,2025-02-09
362,3713,38,117.45,Cash,Success,2025-02-02
363,1140,11,299.34,Card,Pending,2025-02-26
364,8275,1955,101.67,Wallet,Failed,2025-02-17
365,4664,1404,168.21,Cash,Failed,2025-01-09
366,4590,1158,318.31,Card,Failed,2025-02-12
367,2921,1993,325.3,Cash,Pending,2025-01-31
368,9547,22,108.21,UPI,Success,2025-02-22
369,1883,837,61.88,Cash,Success,2025-02-13
370,7600,1651,423.76,UPI,Failed,2025-02-07
371,6003,407,219.14,UPI,Pending,2025-02-20
372,4646,355,453.31,UPI,Success,2025-01-19
373,7105,839,366.33,UPI,Success,2025-01-19
374,8675,1632,447.06,Wallet,Pending,2025-03-02
375,2818,1581,209.97,Card,Failed,2025-01-24
376,114,734,293.69,UPI,Success,2025-01-01
377,7305,1176,120.55,UPI,Failed,2025-01-08
378,1198,1158,154.1,Cash,Success,2025-01-15
379,1502,1651,287.53,Card,Failed,2025-01-21
380,5040,1218,127.25,Card,Pending,2025-01-29
381,8658,1476,177.12,Cash,Pending,2025-01-27
382,6868,633,345.77,UPI,Success,2025-02-12
383,5903,1467,223.55,Wallet,Success,2025-02-21
384,8556,251,387.96,Cash,Success,2025-02-20
385,4465,395,323.81,Wallet,Pending,2025-02-28
386,7279,1709,360.36,UPI,Success,2025-02-24
387,8171,263,229.91,UPI,Success,2025-02-25
388,7176,934,471.4,UPI,Pending,2025-02-16
389,2694,1340,381.38,Card,Pending,2025-01-07
390,3714,1844,476.55,UPI,Pending,2025-01-06
391,9381,1385,250.06,Cash,Failed,2025-03-03
392,5956,154,434.33,Card,Failed,2025-01-27
393,239,59,149.41,UPI,Success,2025-01-19
394,4493,1901,175.1,Wallet,Pending,2025-02-19
395,408,1352,153.84,Card,Pending,2025-03-02
396,1806,1008,410.08,Cash,Pending,2025-02-08
397,3065,830,474.68,Card,Success,2025-02-10
398,166,1213,178.1,Cash,Success,2025-02-27
399,671,418,110.24,Wallet,Failed,2025-02-05
400,3524,1314,257.33,Card,Pending,2025-02-25
401,7477,1949,42.64,Cash,Failed,2025-01-24
402,852,676,42.8,Cash,Failed,2025-01-17
403,3985,290,124.31,Cash,Pending,2025-02-13
404,786,463,198.93,UPI,Failed,2025-01-07
405,7077,1049,365.32,Wallet,Failed,2025-01-22
406,366,226,490.82,Wallet,Success,2025-01-02
407,2485,1722,424.76,Cash,Success,2025-02-21
408,1069,267,351.57,Cash,Pending,2025-02-13
409,8524,128,409.77,UPI,Success,2025-02-19
410,6613,980,388.08,Card,Failed,2025-02-07
411,6533,44,466.74,Wallet,Pending,2025-02-12
412,9171,660,229.49,UPI,Success,2025-01-04
413,3501,798,187.88,Cash,Failed,2025-01-19
414,4618,1115,121.8,Card,Success,2025-02-24
415,7804,1103,200.78,UPI,Pending,2025-02-10
416,8810,1152,38.78,UPI,Failed,2025-03-03
417,4102,1081,55.75,Card,Success,2025-02-21
418,7783,1294,48.24,UPI,Pending,2025-01-21
419,1000,828,289.47,Card,Failed,2025-02-28
420,646,443,128.98,Cash,Pending,2025-02-01
421,7527,301,419.07,Cash,Success,2025-01-19
422,1104,889,201.91,Card,Success,2025-02-28
423,4635,1992,280.86,Wallet,Success,2025-01-12
424,7742,1775,313.71,Card,Success,2025-02-11
425,5181,333,79.23,Cash,Failed,2025-02-12
426,3186,135,384.48,Wallet,Failed,2025-01-27
427,994,38,352.28,Cash,Failed,2025-02-02
428,4633,1739,376.74,Wallet,Failed,2025-02-17
429,2770,176,57.51,Card,Pending,2025-01-27
430,6662,181,46.77,Card,Failed,2025-02-21
431,2924,137,448.75,Card,Failed,2025-02-06
432,8754,676,177.64,Card,Pending,2025-01-26
433,7786,923,137.46,Card,Success,2025-01-07
434,4311,1216,410.55,UPI,Failed,2025-01-10
435,3585,75,33.15,Card,Failed,2025-02-24
436,3075,1401,152.43,Wallet,Success,2025-02-09
437,1688,793,288.39,Card,Failed,2025-01-28
438,9546,1818,424,Wallet,Success,2025-01-24
439,8330,367,351.67,UPI,Pending,2025-01-21
440,8695,1682,237.44,Cash,Failed,2025-02-10
441,2496,599,360.35,Cash,Pending,2025-01-28
442,4010,1786,177.43,Wallet,Pending,2025-02-24
443,8582,1160,370.63,Card,Success,2025-02-05
444,402,1164,468.67,Wallet,Pending,2025-02-25
445,7268,1738,164.17,Wallet,Pending,2025-01-16
446,4311,42,201.12,Cash,Failed,2025-01-21
447,2640,374,166.74,Cash,Pending,2025-02-22
448,5728,429,208.82,Card,Pending,2025-01-22
449,3467,1234,375.9,UPI,Pending,2025-01-26
450,7717,1622,297.98,Card,Success,2025-02-10
451,9615,107,395.69,Cash,Failed,2025-01-21
452,3617,1595,175.24,Wallet,Success,2025-01-24
453,5025,518,485.04,UPI,Success,2025-01-27
454,3660,1921,198.31,Wallet,Success,2025-02-27
455,719,1171,395.65,Cash,Success,2025-02-08
456,3154,1044,437.73,UPI,Success,2025-02-24
457,4055,483,96.79,Cash,Success,2025-01-12
458,9659,921,226.91,Wallet,Success,2025-02-17
459,5944,1494,303.78,Cash,Pending,2025-01-21
460,4129,617,200.55,Wallet,Success,2025-01-13
461,8103,1457,295.83,Card,Success,2025-01-14
462,6353,1558,445.9,UPI,Pending,2025-02-21
463,483,1606,37.7,UPI,Pending,2025-01-07
464,4163,1742,142.81,Wallet,Pending,2025-01-05
465,2248,941,263.17,Cash,Failed,2025-01-09
466,6813,838,427.64,Cash,Pending,2025-01-26
467,249,1249,358.08,Card,Pending,2025-01-30
468,1725,1143,187.38,Cash,Failed,2025-02-09
469,3911,1929,177.87,UPI,Success,2025-02-02
470,9961,1760,298.64,UPI,Success,2025-01-15
471,5821,364,130.62,Card,Success,2025-02-17
472,7331,1749,489.1,UPI,Failed,2025-01-29
473,1116,1578,291.5,Card,Pending,2025-02-19
474,1399,1489,168.69,Card,Pending,2025-02-21
475,4432,950,60.14,Card,Failed,2025-01-21
476,8519,1525,480.74,Card,Failed,2025-02-05
477,7704,1651,427.6,Card,Success,2025-01-22
478,2342,968,258.94,Wallet,Pending,2025-02-12
479,6477,712,462.08,Cash,Pending,2025-01-26
480,8185,75,473.42,Cash,Pending,2025-02-17
481,594,1830,448.11,Card,Pending,2025-01-24
482,4108,25,47.62,Wallet,Pending,2025-02-19
483,5068,1856,347.45,Card,Pending,2025-01-15
484,7078,659,322.08,UPI,Pending,2025-02-13
485,5770,136,133.64,Card,Pending,2025-02-18
486,6866,590,373.57,UPI,Success,2025-01-01
487,3956,300,112.5,UPI,Failed,2025-02-26
488,8903,322,439.79,Cash,Pending,2025-02-22
489,7582,656,493.24,Card,Failed,2025-02-28
490,8036,1701,141.01,Card,Failed,2025-01-11
491,4630,112,371.76,Cash,Failed,2025-01-08
492,4032,1466,372.72,UPI,Failed,2025-02-05
493,3931,246,478.34,Cash,Failed,2025-02-03
494,759,921,328.82,Wallet,Failed,2025-02-08
495,2757,748,480.03,UPI,Failed,2025-01-04
496,3830,1885,31.09,Cash,Pending,2025-01-25
497,9461,282,472.02,UPI,Success,2025-01-17
498,4844,1700,471.55,Cash,Pending,2025-02-21
499,852,974,484.99,Wallet,Success,2025-02-18
500,9465,1807,257.41,Cash,Pending,2025-01-26
501,7450,1378,395.18,Card,Success,2025-02-26
502,2867,1112,447.55,Wallet,Failed,2025-02-24
503,7065,327,473.83,UPI,Failed,2025-01-20
504,5123,84,309.11,Wallet,Failed,2025-01-02
505,3025,655,213.69,Wallet,Pending,2025-01-13
506,3514,546,497.15,Wallet,Pending,2025-01-11
507,2618,117,283.38,UPI,Success,2025-01-28
508,6103,820,107.33,UPI,Failed,2025-02-08
509,1651,395,395.43,UPI,Success,2025-02-24
510,4942,1031,225.47,Card,Success,2025-01-01
511,2749,431,121.98,Cash,Success,2025-02-04
512,945,1454,260.78,Card,Failed,2025-03-02
513,6285,1646,174.33,Card,Pending,2025-02-04
514,8861,265,306.63,Card,Success,2025-02-24
515,141,936,388.16,Wallet,Pending,2025-01-24
516,9794,1457,163.74,Cash,Pending,2025-01-01
517,8647,201,457.2,UPI,Pending,2025-01-25
518,8882,1004,49.61,UPI,Pending,2025-02-19
519,133,1517,250.21,Card,Success,2025-01-28
520,5396,1438,43.68,UPI,Success,2025-01-26
521,3922,1944,300.66,Card,Failed,2025-02-11
522,9138,280,42.86,Cash,Failed,2025-02-13
523,5885,420,460.82,Wallet,Pending,2025-02-25
524,5989,1632,390.15,UPI,Failed,2025-01-15
525,1064,161,499.12,Wallet,Failed,2025-02-14
526,839,1998,185.52,Card,Failed,2025-02-11
527,1111,327,363.76,Cash,Success,2025-01-30
528,5673,289,294.66,Wallet,Failed,2025-01-13
529,8999,502,201.52,UPI,Failed,2025-01-17
530,9072,538,81.7,UPI,Failed,2025-03-01
531,4397,1811,215.25,Card,Failed,2025-01-30
532,268,261,236.31,UPI,Pending,2025-02-14
533,8926,196,293.66,UPI,Failed,2025-01-08
534,4952,1844,377.35,UPI,Pending,2025-01-17
535,3147,914,309.31,Card,Failed,2025-02-26
536,7458,1162,323.16,Card,Success,2025-01-24
537,1390,1532,32.19,UPI,Pending,2025-02-20
